step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,PAYMENT,5854.22,C1000000,68970.64,63116.42,M1438878,0.0,0.0,0,0
2,CASH_IN,6299.21,C1000000,63116.42,69415.63,C8839747,2562.27,0.0,0,0
3,TRANSFER,5562.05,C1000000,69415.63,63853.58,C8450385,12877.3,18439.35,0,0
4,CASH_IN,3575.14,C1000000,63853.58,67428.72,C8092135,4544.77,969.63,0,0
5,PAYMENT,4969.23,C1000000,67428.72,62459.49,M1554584,0.0,0.0,0,0
6,DEBIT,4553.36,C1000000,62459.49,57906.13,C8700522,19413.96,23967.32,0,0
7,CASH_IN,6238.15,C1000000,57906.13,64144.28,C8354525,3892.77,0.0,0,0
8,CASH_OUT,281.95,C1000000,64144.28,63862.33,C8546568,13660.98,13942.93,0,0
9,CASH_IN,7741.7,C1000000,63862.33,71604.03,C8154289,6516.51,0.0,0,0
10,TRANSFER,2827.94,C1000000,71604.03,68776.09,C8795679,2598.43,5426.37,0,0
11,CASH_OUT,1376.92,C1000000,68776.09,67399.17,C8189471,13396.28,14773.2,0,0
12,TRANSFER,4999.42,C1000000,67399.17,62399.75,C8629763,6247.33,11246.75,0,0
13,CASH_IN,6447.88,C1000000,62399.75,68847.63,C8700264,7749.57,1301.69,0,0
14,PAYMENT,4101.32,C1000000,68847.63,64746.31,M1636761,0.0,0.0,0,0
1,DEBIT,1821.17,C1000001,2574.26,753.09,C8277121,9178.32,10999.49,0,0
1,DEBIT,2837.16,C1000002,12904.17,10067.01,C8855079,15299.98,18137.14,0,0
2,DEBIT,3330.4,C1000002,10067.01,6736.61,C8565235,11184.14,14514.54,0,0
3,PAYMENT,204.29,C1000002,6736.61,6532.32,M1347498,0.0,0.0,0,0
4,PAYMENT,2463.0,C1000002,6532.32,4069.32,M1436716,0.0,0.0,0,0
5,CASH_IN,1909.82,C1000002,4069.32,5979.14,C8855669,1166.05,0.0,0,0
6,PAYMENT,3964.45,C1000002,5979.14,2014.69,M1281383,0.0,0.0,0,0
7,CASH_OUT,1583.63,C1000002,2014.69,431.06,C8996105,8127.74,9711.37,0,0
8,CASH_IN,1377.43,C1000002,431.06,1808.49,C8664312,454.24,0.0,0,0
9,PAYMENT,1311.93,C1000002,1808.49,496.56,M1696770,0.0,0.0,0,0
10,PAYMENT,258.78,C1000002,496.56,237.78,M1461876,0.0,0.0,0,0
11,PAYMENT,171.64,C1000002,237.78,66.14,M1495625,0.0,0.0,0,0
12,TRANSFER,33.91,C1000002,66.14,32.23,C8446155,12605.65,12639.56,0,0
13,TRANSFER,22.63,C1000002,32.23,9.6,C8342590,19237.95,19260.58,0,0
14,CASH_IN,5612.67,C1000002,9.6,5622.27,C8118005,5317.4,0.0,0,0
15,CASH_IN,6241.07,C1000002,5622.27,11863.34,C8789005,14337.8,8096.73,0,0
16,PAYMENT,596.42,C1000002,11863.34,11266.92,M1449361,0.0,0.0,0,0
1,CASH_OUT,1077.1,C1000003,17784.34,16707.24,C8455775,17132.29,18209.39,0,0
2,CASH_IN,5769.73,C1000003,16707.24,22476.97,C8308666,8641.86,2872.13,0,0
3,CASH_OUT,3906.08,C1000003,22476.97,18570.89,C8627308,1688.89,5594.97,0,0
4,TRANSFER,268.85,C1000003,18570.89,18302.04,C8179456,6597.22,6866.07,0,0
5,PAYMENT,638.35,C1000003,18302.04,17663.69,M1493990,0.0,0.0,0,0
6,CASH_OUT,1040.15,C1000003,17663.69,16623.54,C8299992,11621.22,12661.37,0,0
7,TRANSFER,3553.67,C1000003,16623.54,13069.87,C8925119,456.08,4009.75,0,0
1,CASH_OUT,2954.43,C1000004,63053.35,60098.92,C8482302,18756.53,21710.96,0,0
2,CASH_OUT,2851.47,C1000004,60098.92,57247.45,C8807596,6631.38,9482.85,0,0
3,CASH_OUT,2644.69,C1000004,57247.45,54602.76,C8266975,432.24,3076.93,0,0
4,CASH_IN,7174.48,C1000004,54602.76,61777.24,C8302179,2804.98,0.0,0,0
5,PAYMENT,4040.0,C1000004,61777.24,57737.24,M1554035,0.0,0.0,0,0
6,PAYMENT,3963.35,C1000004,57737.24,53773.89,M1730294,0.0,0.0,0,0
7,CASH_IN,906.54,C1000004,53773.89,54680.43,C8726993,18320.24,17413.7,0,0
8,PAYMENT,243.73,C1000004,54680.43,54436.7,M1141262,0.0,0.0,0,0
9,TRANSFER,4982.14,C1000004,54436.7,49454.56,C8554851,16165.03,21147.17,0,0
10,PAYMENT,5718.34,C1000004,49454.56,43736.22,M1634830,0.0,0.0,0,0
11,CASH_OUT,1550.67,C1000004,43736.22,42185.55,C8290917,18720.87,20271.54,0,0
1,CASH_IN,6001.43,C1000005,35937.57,41939.0,C8044910,17815.85,11814.42,0,0
2,CASH_IN,4174.92,C1000005,41939.0,46113.92,C8022114,6318.58,2143.66,0,0
1,CASH_IN,2136.56,C1000006,31145.3,33281.86,C8947730,18736.26,16599.7,0,0
2,PAYMENT,4990.05,C1000006,33281.86,28291.81,M1240970,0.0,0.0,0,0
3,PAYMENT,1092.02,C1000006,28291.81,27199.79,M1367208,0.0,0.0,0,0
4,CASH_IN,1611.66,C1000006,27199.79,28811.45,C8599382,6206.47,4594.81,0,0
5,CASH_IN,7776.02,C1000006,28811.45,36587.47,C8433698,10014.82,2238.8,0,0
6,PAYMENT,1393.34,C1000006,36587.47,35194.13,M1143897,0.0,0.0,0,0
7,PAYMENT,4072.4,C1000006,35194.13,31121.73,M1969308,0.0,0.0,0,0
8,CASH_OUT,4171.69,C1000006,31121.73,26950.04,C8121832,11622.33,15794.02,0,0
9,PAYMENT,4828.66,C1000006,26950.04,22121.38,M1025101,0.0,0.0,0,0
10,CASH_IN,1091.91,C1000006,22121.38,23213.29,C8715406,2475.08,1383.17,0,0
11,CASH_IN,3210.75,C1000006,23213.29,26424.04,C8132216,6018.97,2808.22,0,0
12,DEBIT,5734.63,C1000006,26424.04,20689.41,C8488583,5728.92,11463.55,0,0
13,CASH_IN,247.63,C1000006,20689.41,20937.04,C8148208,11103.96,10856.33,0,0
14,PAYMENT,859.23,C1000006,20937.04,20077.81,M1633974,0.0,0.0,0,0
15,TRANSFER,5798.07,C1000006,20077.81,14279.74,C8165970,18660.46,24458.53,0,0
16,CASH_IN,3765.68,C1000006,14279.74,18045.42,C8596041,15695.27,11929.59,0,0
1,PAYMENT,3194.0,C1000007,66695.43,63501.43,M1109143,0.0,0.0,0,0
2,CASH_OUT,5209.08,C1000007,63501.43,58292.35,C8753352,8251.43,13460.51,0,0
1,CASH_IN,3658.48,C1000008,35218.8,38877.28,C8268691,4956.79,1298.31,0,0
2,CASH_IN,6541.72,C1000008,38877.28,45419.0,C8236662,2105.56,0.0,0,0
1,PAYMENT,880.35,C1000009,13401.51,12521.16,M1594433,0.0,0.0,0,0
2,CASH_IN,1365.98,C1000009,12521.16,13887.14,C8577415,5694.4,4328.42,0,0
1,TRANSFER,3649.55,C1000010,3649.55,0.0,C8174641,0.0,0.0,1,0
1,PAYMENT,3037.07,C1000011,55095.73,52058.66,M1591143,0.0,0.0,0,0
2,CASH_IN,6816.5,C1000011,52058.66,58875.16,C8493083,869.5,0.0,0,0
1,TRANSFER,314.54,C1000012,21452.23,21137.69,C8007075,10475.06,10789.6,0,0
1,CASH_OUT,67009.77,C1000013,67009.77,0.0,C8689382,0.0,0.0,1,0
2,CASH_IN,7226.09,C1000013,0.0,7226.09,C8099113,19591.41,12365.32,0,0
1,PAYMENT,3225.69,C1000014,52113.7,48888.01,M1779476,0.0,0.0,0,0
2,CASH_OUT,5148.28,C1000014,48888.01,43739.73,C8833697,7701.79,12850.07,0,0
3,DEBIT,1613.45,C1000014,43739.73,42126.28,C8462798,2795.37,4408.82,0,0
4,CASH_OUT,2513.0,C1000014,42126.28,39613.28,C8604176,7350.24,9863.24,0,0
5,TRANSFER,1978.42,C1000014,39613.28,37634.86,C8232569,7589.28,9567.7,0,0
6,CASH_IN,2410.17,C1000014,37634.86,40045.03,C8670842,18977.16,16566.99,0,0
7,CASH_OUT,1983.6,C1000014,40045.03,38061.43,C8916347,10708.7,12692.3,0,0
8,CASH_IN,5238.07,C1000014,38061.43,43299.5,C8553037,16087.84,10849.77,0,0
9,DEBIT,1743.17,C1000014,43299.5,41556.33,C8532721,14697.86,16441.03,0,0
10,PAYMENT,4174.89,C1000014,41556.33,37381.44,M1503304,0.0,0.0,0,0
11,PAYMENT,3693.99,C1000014,37381.44,33687.45,M1860718,0.0,0.0,0,0
12,PAYMENT,4359.78,C1000014,33687.45,29327.67,M1580790,0.0,0.0,0,0
13,CASH_IN,1142.39,C1000014,29327.67,30470.06,C8084493,19177.6,18035.21,0,0
1,CASH_IN,2064.4,C1000015,63044.68,65109.08,C8593681,11801.52,9737.12,0,0
2,PAYMENT,3704.67,C1000015,65109.08,61404.41,M1167719,0.0,0.0,0,0
3,CASH_OUT,3443.13,C1000015,61404.41,57961.28,C8171291,9319.7,12762.83,0,0
4,CASH_OUT,4588.26,C1000015,57961.28,53373.02,C8920116,9843.06,14431.32,0,0
5,CASH_OUT,5588.79,C1000015,53373.02,47784.23,C8799243,2394.67,7983.46,0,0
6,PAYMENT,544.5,C1000015,47784.23,47239.73,M1488192,0.0,0.0,0,0
7,TRANSFER,4650.44,C1000015,47239.73,42589.29,C8657862,13424.63,18075.07,0,0
8,PAYMENT,5392.23,C1000015,42589.29,37197.06,M1817113,0.0,0.0,0,0
9,PAYMENT,2197.87,C1000015,37197.06,34999.19,M1762531,0.0,0.0,0,0
10,PAYMENT,962.52,C1000015,34999.19,34036.67,M1961296,0.0,0.0,0,0
11,CASH_IN,3531.34,C1000015,34036.67,37568.01,C8147783,7666.4,4135.06,0,0
1,CASH_OUT,2270.63,C1000016,75018.92,72748.29,C8552992,19732.63,22003.26,0,0
2,CASH_IN,7612.0,C1000016,72748.29,80360.29,C8270966,2369.57,0.0,0,0
3,DEBIT,749.09,C1000016,80360.29,79611.2,C8850532,11765.16,12514.25,0,0
4,CASH_IN,147.81,C1000016,79611.2,79759.01,C8722584,9086.36,8938.55,0,0
5,PAYMENT,2762.12,C1000016,79759.01,76996.89,M1825398,0.0,0.0,0,0
6,CASH_OUT,1825.53,C1000016,76996.89,75171.36,C8515553,15625.88,17451.41,0,0
7,PAYMENT,5982.27,C1000016,75171.36,69189.09,M1918440,0.0,0.0,0,0
8,CASH_IN,2307.07,C1000016,69189.09,71496.16,C8043219,16737.93,14430.86,0,0
1,PAYMENT,5384.26,C1000017,53923.41,48539.15,M1863442,0.0,0.0,0,0
2,PAYMENT,875.27,C1000017,48539.15,47663.88,M1028999,0.0,0.0,0,0
3,CASH_IN,1625.72,C1000017,47663.88,49289.6,C8288908,18212.76,16587.04,0,0
4,PAYMENT,52.47,C1000017,49289.6,49237.13,M1656268,0.0,0.0,0,0
5,PAYMENT,3643.43,C1000017,49237.13,45593.7,M1980045,0.0,0.0,0,0
6,PAYMENT,5099.46,C1000017,45593.7,40494.24,M1801481,0.0,0.0,0,0
7,PAYMENT,4809.76,C1000017,40494.24,35684.48,M1968195,0.0,0.0,0,0
1,PAYMENT,1226.66,C1000018,56453.42,55226.76,M1113729,0.0,0.0,0,0
2,CASH_OUT,4476.23,C1000018,55226.76,50750.53,C8124923,12600.24,17076.47,0,0
3,CASH_IN,1283.94,C1000018,50750.53,52034.47,C8053025,14692.42,13408.48,0,0
4,PAYMENT,4265.23,C1000018,52034.47,47769.24,M1193041,0.0,0.0,0,0
5,CASH_IN,4911.77,C1000018,47769.24,52681.01,C8070201,1090.01,0.0,0,0
6,PAYMENT,5307.19,C1000018,52681.01,47373.82,M1616308,0.0,0.0,0,0
7,CASH_IN,1426.37,C1000018,47373.82,48800.19,C8770252,1834.42,408.05,0,0
8,CASH_IN,3695.56,C1000018,48800.19,52495.75,C8183533,15681.62,11986.06,0,0
9,DEBIT,3443.03,C1000018,52495.75,49052.72,C8446539,18920.49,22363.52,0,0
10,PAYMENT,3476.54,C1000018,49052.72,45576.18,M1145130,0.0,0.0,0,0
11,CASH_IN,5211.4,C1000018,45576.18,50787.58,C8157922,18811.89,13600.49,0,0
12,CASH_OUT,2436.13,C1000018,50787.58,48351.45,C8148438,9483.37,11919.5,0,0
13,PAYMENT,821.89,C1000018,48351.45,47529.56,M1947850,0.0,0.0,0,0
14,PAYMENT,2578.86,C1000018,47529.56,44950.7,M1278075,0.0,0.0,0,0
15,CASH_OUT,3815.08,C1000018,44950.7,41135.62,C8971461,8175.66,11990.74,0,0
16,PAYMENT,3538.07,C1000018,41135.62,37597.55,M1411810,0.0,0.0,0,0
17,PAYMENT,235.64,C1000018,37597.55,37361.91,M1298671,0.0,0.0,0,0
18,CASH_OUT,1369.05,C1000018,37361.91,35992.86,C8418399,11449.16,12818.21,0,0
1,PAYMENT,4728.84,C1000019,52539.98,47811.14,M1702001,0.0,0.0,0,0
2,CASH_OUT,2599.88,C1000019,47811.14,45211.26,C8529663,7213.15,9813.03,0,0
3,CASH_OUT,4425.5,C1000019,45211.26,40785.76,C8626011,17728.06,22153.56,0,0
4,CASH_IN,4053.88,C1000019,40785.76,44839.64,C8268764,10405.5,6351.62,0,0
5,PAYMENT,5027.55,C1000019,44839.64,39812.09,M1799869,0.0,0.0,0,0
6,CASH_OUT,712.82,C1000019,39812.09,39099.27,C8055947,16839.86,17552.68,0,0
7,PAYMENT,1698.06,C1000019,39099.27,37401.21,M1072059,0.0,0.0,0,0
8,PAYMENT,1054.51,C1000019,37401.21,36346.7,M1730777,0.0,0.0,0,0
